D,E
0.0,-0.34375
1.0,-0.34375
2.0,0.125
3.0,0.125
4.0,0.5625
5.0,0.5625
6.0,0.96875
7.0,0.96875
8.0,1.34375
9.0,1.34375
10.0,1.6875
11.0,1.6875
12.0,2.0
13.0,2.0
14.0,2.28125
15.0,2.28125
16.0,0.53125
17.0,0.53125
18.0,0.75
19.0,0.75
20.0,0.9375
21.0,0.9375
22.0,1.09375
23.0,1.09375
24.0,1.21875
25.0,1.21875
26.0,1.3125
27.0,1.3125
28.0,1.375
29.0,1.375
30.0,1.40625
31.0,1.40625
32.0,1.40625
33.0,1.40625
34.0,1.375
35.0,1.375
36.0,1.3125
37.0,1.3125
38.0,1.21875
39.0,1.21875
40.0,1.09375
41.0,1.09375
42.0,0.9375
43.0,0.9375
44.0,0.75
45.0,0.75
46.0,0.53125
47.0,0.53125
48.0,2.28125
49.0,2.28125
50.0,2.0
51.0,2.0
52.0,1.6875
53.0,1.6875
54.0,1.34375
55.0,1.34375
56.0,0.96875
57.0,0.96875
58.0,0.5625
59.0,0.5625
60.0,0.125
61.0,0.125
62.0,-0.34375
63.0,-0.34375
